[3.64066842e-01 1.60179283e+01 1.52090513e+03 5.42897553e+04]
[ 3.27968484e-01 -5.06825460e+00 -1.53704229e+02  5.42897553e+04]
[ 4.13701398e-01 -6.32181994e-01 -1.36801282e+02 -5.53462453e+02]
[ 3.94319810e-01  1.11877421e+00  2.09952974e+01 -5.21823110e+03]
[ 0.36985642  0.52777797 18.47943949 84.0215393 ]
[3.61965615e-01 1.67810546e-02 1.59881265e+01 8.40215393e+01]
[ 3.66426460e-01 -2.54593973e-01  2.49601451e+00  4.59493460e+02]
[ 3.73002069e-01 -1.32901055e-01 -1.08657392e+01  4.59493460e+02]
[ 3.73776529e-01  2.86633348e-02 -3.54126233e-01 -3.64990337e+02]
[ 3.74226648e-01 -1.09718114e-01  1.00568976e+01 -3.64990337e+02]
[   0.38271199   -0.5395179    20.36876844 -364.99033693]
[ 4.00003218e-01 -4.89605230e-01 -2.39359143e+01  1.58317779e+03]
[ 3.98758128e-01  7.82197838e-01 -6.78226271e+01  1.58317779e+03]
[ 3.73443324e-01  2.69988877e-01  1.05127962e+02 -6.29819088e+03]
[ 3.89840713e-01 -9.18330032e-01 -1.77635230e+01  4.51745130e+03]
[ 3.93400744e-01  1.20100749e+00 -1.39511831e+02  4.51745130e+03]
[ 3.51165295e-01  4.80781241e-01  1.93459102e+02 -1.24702988e+04]
[ 3.74825551e-01 -1.08565256e+00 -7.50367087e+01  1.01491414e+04]
[ 3.84820448e-01  4.39460099e-02 -1.11516615e+01 -2.43721453e+03]
[ 3.87034766e-01 -4.88477075e-01  5.21499579e+01 -2.43721453e+03]
[ 4.23803060e-01 -2.63783711e+00  1.14876112e+02 -2.43721453e+03]
[ 4.91703423e-01 -1.24648521e+00 -2.23985034e+02  1.32866367e+04]
[ 4.94222468e-01 -6.36551079e-01  1.75719569e+02 -1.58147638e+04]
[ 5.40056011e-01 -2.01583431e+00 -6.55860275e+01  9.63393132e+03]
[ 5.77070021e-01 -1.25558236e+00  4.33424495e+00 -2.81665922e+03]
[ 6.16264405e-01 -2.21470330e+00  7.36330047e+01 -2.81665922e+03]
[ 6.84770399e-01 -3.10070140e+00 -9.66869075e-01  3.05919649e+03]
[ 7.52234011e-01 -2.18371306e+00 -7.49094775e+01  3.05919649e+03]
